date,yield
30/08/2021,-0.11%
27/08/2021,+0.11%
26/08/2021,+0.21%
25/08/2021,+0.76%
24/08/2021,-0.22%
23/08/2021,-4.83%
20/08/2021,+6.56%
19/08/2021,-7.86%
18/08/2021,+3.77%
17/08/2021,-4.21%
16/08/2021,-1.96%
13/08/2021,+2.11%
12/08/2021,-3.86%
11/08/2021,-2.26%
10/08/2021,-1.30%
09/08/2021,+0.75%
06/08/2021,+1.43%
05/08/2021,-3.40%
04/08/2021,+1.49%
03/08/2021,-2.37%
02/08/2021,+0.64%
30/07/2021,+1.30%
29/07/2021,+2.47%
28/07/2021,+0.19%
27/07/2021,-0.38%
26/07/2021,-2.77%
23/07/2021,+0.18%
22/07/2021,+1.88%
21/07/2021,-2.03%
20/07/2021,+0.18%
19/07/2021,+0.74%
16/07/2021,+2.58%
15/07/2021,-2.97%
14/07/2021,+0.47%
13/07/2021,-0.65%
12/07/2021,-1.28%
09/07/2021,+1.01%
08/07/2021,-1.99%
07/07/2021,0.00%
06/07/2021,+1.75%
05/07/2021,-0.73%
02/07/2021,-0.09%
01/07/2021,-1.08%
30/06/2021,+0.45%
29/06/2021,-1.69%
28/06/2021,+0.81%
25/06/2021,-0.36%
24/06/2021,-0.71%
23/06/2021,+1.44%
22/06/2021,-0.72%
21/06/2021,-2.45%
18/06/2021,+3.81%
17/06/2021,-2.04%
16/06/2021,-1.05%
15/06/2021,+1.70%
14/06/2021,+1.54%
11/06/2021,-2.30%
10/06/2021,-0.09%
09/06/2021,-0.88%
08/06/2021,-0.87%
07/06/2021,-1.88%
04/06/2021,+0.34%
03/06/2021,+1.30%
02/06/2021,-1.87%
01/06/2021,+5.58%
31/05/2021,-1.33%
28/05/2021,+0.62%
27/05/2021,-0.88%
26/05/2021,+1.89%
25/05/2021,+2.88%
24/05/2021,-1.46%
21/05/2021,-0.82%
20/05/2021,+1.01%
19/05/2021,-0.46%
18/05/2021,-0.54%
17/05/2021,+0.73%
14/05/2021,+0.92%
13/05/2021,-0.09%
12/05/2021,+1.12%
11/05/2021,-1.38%
10/05/2021,-0.18%
07/05/2021,+0.83%
06/05/2021,-0.18%
05/05/2021,+0.18%
04/05/2021,+1.22%
03/05/2021,-0.19%
30/04/2021,-4.46%
29/04/2021,-2.27%
28/04/2021,+0.35%
27/04/2021,+1.78%
26/04/2021,+0.36%
23/04/2021,+2.75%
